     i        y          a (AU)     P (y)    Mplan (M_E)     Pcol        Pejc   
   7126   -1.05002       0.36393  6.6197e-01  1.0000e+00  1.0371e-07  0.0000e+00
   7127   -1.04974       0.36403  6.6224e-01  1.0000e+00  1.0367e-07  0.0000e+00
   7128   -1.04947       0.36413  6.6251e-01  1.0000e+00  1.0363e-07  0.0000e+00
   7129   -1.04920       0.36423  6.6278e-01  1.0000e+00  1.0359e-07  0.0000e+00
   7130   -1.04893       0.36433  6.6305e-01  1.0000e+00  1.0356e-07  0.0000e+00
   7131   -1.04865       0.36443  6.6332e-01  1.0000e+00  1.0352e-07  0.0000e+00
   7132   -1.04838       0.36453  6.6360e-01  1.0000e+00  1.0348e-07  0.0000e+00
   7133   -1.04811       0.36463  6.6387e-01  1.0000e+00  1.0344e-07  0.0000e+00
   7134   -1.04783       0.36472  6.6414e-01  1.0000e+00  1.0340e-07  0.0000e+00
   7135   -1.04756       0.36482  6.6441e-01  1.0000e+00  1.0336e-07  0.0000e+00
   7136   -1.04729       0.36492  6.6468e-01  1.0000e+00  1.0332e-07  0.0000e+00
   7137   -1.04701       0.36502  6.6496e-01  1.0000e+00  1.0328e-07  0.0000e+00
   7138   -1.04674       0.36512  6.6523e-01  1.0000e+00  1.0324e-07  0.0000e+00
   7139   -1.04647       0.36522  6.6550e-01  1.0000e+00  1.0320e-07  0.0000e+00
   7140   -1.04619       0.36532  6.6577e-01  1.0000e+00  1.0316e-07  0.0000e+00
   7141   -1.04592       0.36542  6.6605e-01  1.0000e+00  1.0312e-07  0.0000e+00
   7142   -1.04565       0.36552  6.6632e-01  1.0000e+00  1.0308e-07  0.0000e+00
   7143   -1.04538       0.36562  6.6659e-01  1.0000e+00  1.0304e-07  0.0000e+00
   7144   -1.04510       0.36572  6.6687e-01  1.0000e+00  1.0300e-07  0.0000e+00
   7145   -1.04483       0.36582  6.6714e-01  1.0000e+00  1.0296e-07  0.0000e+00
   7146   -1.04456       0.36592  6.6741e-01  1.0000e+00  1.0293e-07  0.0000e+00
   7147   -1.04428       0.36602  6.6769e-01  1.0000e+00  1.0289e-07  0.0000e+00
   7148   -1.04401       0.36612  6.6796e-01  1.0000e+00  1.0285e-07  0.0000e+00
   7149   -1.04374       0.36622  6.6823e-01  1.0000e+00  1.0281e-07  0.0000e+00
   7150   -1.04346       0.36632  6.6851e-01  1.0000e+00  1.0277e-07  0.0000e+00
   7151   -1.04319       0.36642  6.6878e-01  1.0000e+00  1.0273e-07  0.0000e+00
   7152   -1.04292       0.36652  6.6905e-01  1.0000e+00  1.0269e-07  0.0000e+00
   7153   -1.04265       0.36662  6.6933e-01  1.0000e+00  1.0265e-07  0.0000e+00
   7154   -1.04237       0.36672  6.6960e-01  1.0000e+00  1.0261e-07  0.0000e+00
   7155   -1.04210       0.36682  6.6988e-01  1.0000e+00  1.0257e-07  0.0000e+00
   7156   -1.04183       0.36692  6.7015e-01  1.0000e+00  1.0253e-07  0.0000e+00
   7157   -1.04155       0.36702  6.7043e-01  1.0000e+00  1.0250e-07  0.0000e+00
   7158   -1.04128       0.36712  6.7070e-01  1.0000e+00  1.0246e-07  0.0000e+00
   7159   -1.04101       0.36722  6.7098e-01  1.0000e+00  1.0242e-07  0.0000e+00
   7160   -1.04073       0.36732  6.7125e-01  1.0000e+00  1.0238e-07  0.0000e+00
   7161   -1.04046       0.36742  6.7153e-01  1.0000e+00  1.0234e-07  0.0000e+00
   7162   -1.04019       0.36752  6.7180e-01  1.0000e+00  1.0230e-07  0.0000e+00
   7163   -1.03991       0.36762  6.7208e-01  1.0000e+00  1.0226e-07  0.0000e+00
   7164   -1.03964       0.36772  6.7235e-01  1.0000e+00  1.0222e-07  0.0000e+00
   7165   -1.03937       0.36783  6.7263e-01  1.0000e+00  1.0218e-07  0.0000e+00
   7166   -1.03910       0.36793  6.7290e-01  1.0000e+00  1.0215e-07  0.0000e+00
   7167   -1.03882       0.36803  6.7318e-01  1.0000e+00  1.0211e-07  0.0000e+00
   7168   -1.03855       0.36813  6.7345e-01  1.0000e+00  1.0207e-07  0.0000e+00
   7169   -1.03828       0.36823  6.7373e-01  1.0000e+00  1.0203e-07  0.0000e+00
   7170   -1.03800       0.36833  6.7401e-01  1.0000e+00  1.0199e-07  0.0000e+00
   7171   -1.03773       0.36843  6.7428e-01  1.0000e+00  1.0195e-07  0.0000e+00
   7172   -1.03746       0.36853  6.7456e-01  1.0000e+00  1.0191e-07  0.0000e+00
   7173   -1.03718       0.36863  6.7483e-01  1.0000e+00  1.0187e-07  0.0000e+00
   7174   -1.03691       0.36873  6.7511e-01  1.0000e+00  1.0183e-07  0.0000e+00
   7175   -1.03664       0.36883  6.7539e-01  1.0000e+00  1.0180e-07  0.0000e+00
   7176   -1.03637       0.36893  6.7566e-01  1.0000e+00  1.0176e-07  0.0000e+00
   7177   -1.03609       0.36903  6.7594e-01  1.0000e+00  1.0172e-07  0.0000e+00
   7178   -1.03582       0.36913  6.7622e-01  1.0000e+00  1.0168e-07  0.0000e+00
   7179   -1.03555       0.36923  6.7649e-01  1.0000e+00  1.0164e-07  0.0000e+00
   7180   -1.03527       0.36933  6.7677e-01  1.0000e+00  1.0160e-07  0.0000e+00
   7181   -1.03500       0.36944  6.7705e-01  1.0000e+00  1.0156e-07  0.0000e+00
   7182   -1.03473       0.36954  6.7733e-01  1.0000e+00  1.0153e-07  0.0000e+00
   7183   -1.03445       0.36964  6.7760e-01  1.0000e+00  1.0149e-07  0.0000e+00
   7184   -1.03418       0.36974  6.7788e-01  1.0000e+00  1.0145e-07  0.0000e+00
   7185   -1.03391       0.36984  6.7816e-01  1.0000e+00  1.0141e-07  0.0000e+00
   7186   -1.03363       0.36994  6.7844e-01  1.0000e+00  1.0137e-07  0.0000e+00
   7187   -1.03336       0.37004  6.7871e-01  1.0000e+00  1.0133e-07  0.0000e+00
   7188   -1.03309       0.37014  6.7899e-01  1.0000e+00  1.0129e-07  0.0000e+00
   7189   -1.03282       0.37024  6.7927e-01  1.0000e+00  1.0126e-07  0.0000e+00
   7190   -1.03254       0.37034  6.7955e-01  1.0000e+00  1.0122e-07  0.0000e+00
   7191   -1.03227       0.37045  6.7983e-01  1.0000e+00  1.0118e-07  0.0000e+00
   7192   -1.03200       0.37055  6.8011e-01  1.0000e+00  1.0114e-07  0.0000e+00
   7193   -1.03172       0.37065  6.8038e-01  1.0000e+00  1.0110e-07  0.0000e+00
   7194   -1.03145       0.37075  6.8066e-01  1.0000e+00  1.0106e-07  0.0000e+00
   7195   -1.03118       0.37085  6.8094e-01  1.0000e+00  1.0102e-07  0.0000e+00
   7196   -1.03090       0.37095  6.8122e-01  1.0000e+00  1.0099e-07  0.0000e+00
   7197   -1.03063       0.37105  6.8150e-01  1.0000e+00  1.0095e-07  0.0000e+00
   7198   -1.03036       0.37115  6.8178e-01  1.0000e+00  1.0091e-07  0.0000e+00
   7199   -1.03009       0.37126  6.8206e-01  1.0000e+00  1.0087e-07  0.0000e+00
   7200   -1.02981       0.37136  6.8234e-01  1.0000e+00  1.0083e-07  0.0000e+00
   7201   -1.02954       0.37146  6.8262e-01  1.0000e+00  1.0079e-07  0.0000e+00
   7202   -1.02927       0.37156  6.8290e-01  1.0000e+00  1.0076e-07  0.0000e+00
   7203   -1.02899       0.37166  6.8318e-01  1.0000e+00  1.0072e-07  0.0000e+00
   7204   -1.02872       0.37176  6.8346e-01  1.0000e+00  1.0068e-07  0.0000e+00
   7205   -1.02845       0.37186  6.8374e-01  1.0000e+00  1.0064e-07  0.0000e+00
   7206   -1.02817       0.37197  6.8402e-01  1.0000e+00  1.0060e-07  0.0000e+00
   7207   -1.02790       0.37207  6.8430e-01  1.0000e+00  1.0057e-07  0.0000e+00
   7208   -1.02763       0.37217  6.8458e-01  1.0000e+00  1.0053e-07  0.0000e+00
   7209   -1.02735       0.37227  6.8486e-01  1.0000e+00  1.0049e-07  0.0000e+00
   7210   -1.02708       0.37237  6.8514e-01  1.0000e+00  1.0045e-07  0.0000e+00
   7211   -1.02681       0.37247  6.8542e-01  1.0000e+00  1.0041e-07  0.0000e+00
   7212   -1.02654       0.37258  6.8570e-01  1.0000e+00  1.0037e-07  0.0000e+00
   7213   -1.02626       0.37268  6.8598e-01  1.0000e+00  1.0034e-07  0.0000e+00
   7214   -1.02599       0.37278  6.8626e-01  1.0000e+00  1.0030e-07  0.0000e+00
   7215   -1.02572       0.37288  6.8654e-01  1.0000e+00  1.0026e-07  0.0000e+00
   7216   -1.02544       0.37298  6.8682e-01  1.0000e+00  1.0022e-07  0.0000e+00
   7217   -1.02517       0.37308  6.8711e-01  1.0000e+00  1.0018e-07  0.0000e+00
   7218   -1.02490       0.37319  6.8739e-01  1.0000e+00  1.0015e-07  0.0000e+00
   7219   -1.02462       0.37329  6.8767e-01  1.0000e+00  1.0011e-07  0.0000e+00
   7220   -1.02435       0.37339  6.8795e-01  1.0000e+00  1.0007e-07  0.0000e+00
   7221   -1.02408       0.37349  6.8823e-01  1.0000e+00  1.0003e-07  0.0000e+00
   7222   -1.02380       0.37359  6.8851e-01  1.0000e+00  9.9994e-08  0.0000e+00
   7223   -1.02353       0.37370  6.8880e-01  1.0000e+00  9.9956e-08  0.0000e+00
   7224   -1.02326       0.37380  6.8908e-01  1.0000e+00  9.9918e-08  0.0000e+00
   7225   -1.02299       0.37390  6.8936e-01  1.0000e+00  9.9880e-08  0.0000e+00
   7226   -1.02271       0.37400  6.8964e-01  1.0000e+00  9.9843e-08  0.0000e+00
   7227   -1.02244       0.37410  6.8993e-01  1.0000e+00  9.9805e-08  0.0000e+00
   7228   -1.02217       0.37421  6.9021e-01  1.0000e+00  9.9767e-08  0.0000e+00
   7229   -1.02189       0.37431  6.9049e-01  1.0000e+00  9.9729e-08  0.0000e+00
   7230   -1.02162       0.37441  6.9077e-01  1.0000e+00  9.9691e-08  0.0000e+00
   7231   -1.02135       0.37451  6.9106e-01  1.0000e+00  9.9653e-08  0.0000e+00
   7232   -1.02107       0.37462  6.9134e-01  1.0000e+00  9.9616e-08  0.0000e+00
   7233   -1.02080       0.37472  6.9162e-01  1.0000e+00  9.9578e-08  0.0000e+00
   7234   -1.02053       0.37482  6.9191e-01  1.0000e+00  9.9540e-08  0.0000e+00
   7235   -1.02026       0.37492  6.9219e-01  1.0000e+00  9.9502e-08  0.0000e+00
   7236   -1.01998       0.37503  6.9247e-01  1.0000e+00  9.9465e-08  0.0000e+00
   7237   -1.01971       0.37513  6.9276e-01  1.0000e+00  9.9427e-08  0.0000e+00
   7238   -1.01944       0.37523  6.9304e-01  1.0000e+00  9.9389e-08  0.0000e+00
   7239   -1.01916       0.37533  6.9332e-01  1.0000e+00  9.9351e-08  0.0000e+00
   7240   -1.01889       0.37544  6.9361e-01  1.0000e+00  9.9314e-08  0.0000e+00
   7241   -1.01862       0.37554  6.9389e-01  1.0000e+00  9.9276e-08  0.0000e+00
   7242   -1.01834       0.37564  6.9418e-01  1.0000e+00  9.9239e-08  0.0000e+00
   7243   -1.01807       0.37574  6.9446e-01  1.0000e+00  9.9201e-08  0.0000e+00
   7244   -1.01780       0.37585  6.9475e-01  1.0000e+00  9.9163e-08  0.0000e+00
   7245   -1.01752       0.37595  6.9503e-01  1.0000e+00  9.9126e-08  0.0000e+00
   7246   -1.01725       0.37605  6.9531e-01  1.0000e+00  9.9088e-08  0.0000e+00
   7247   -1.01698       0.37615  6.9560e-01  1.0000e+00  9.9051e-08  0.0000e+00
   7248   -1.01671       0.37626  6.9588e-01  1.0000e+00  9.9013e-08  0.0000e+00
   7249   -1.01643       0.37636  6.9617e-01  1.0000e+00  9.8976e-08  0.0000e+00
   7250   -1.01616       0.37646  6.9645e-01  1.0000e+00  9.8938e-08  0.0000e+00
   7251   -1.01589       0.37656  6.9674e-01  1.0000e+00  9.8901e-08  0.0000e+00
   7252   -1.01561       0.37667  6.9703e-01  1.0000e+00  9.8863e-08  0.0000e+00
   7253   -1.01534       0.37677  6.9731e-01  1.0000e+00  9.8826e-08  0.0000e+00
   7254   -1.01507       0.37687  6.9760e-01  1.0000e+00  9.8788e-08  0.0000e+00
   7255   -1.01479       0.37698  6.9788e-01  1.0000e+00  9.8751e-08  0.0000e+00
   7256   -1.01452       0.37708  6.9817e-01  1.0000e+00  9.8713e-08  0.0000e+00
   7257   -1.01425       0.37718  6.9845e-01  1.0000e+00  9.8676e-08  0.0000e+00
   7258   -1.01398       0.37728  6.9874e-01  1.0000e+00  9.8639e-08  0.0000e+00
   7259   -1.01370       0.37739  6.9903e-01  1.0000e+00  9.8601e-08  0.0000e+00
   7260   -1.01343       0.37749  6.9931e-01  1.0000e+00  9.8564e-08  0.0000e+00
   7261   -1.01316       0.37759  6.9960e-01  1.0000e+00  9.8526e-08  0.0000e+00
   7262   -1.01288       0.37770  6.9989e-01  1.0000e+00  9.8489e-08  0.0000e+00
   7263   -1.01261       0.37780  7.0017e-01  1.0000e+00  9.8452e-08  0.0000e+00
   7264   -1.01234       0.37790  7.0046e-01  1.0000e+00  9.8415e-08  0.0000e+00
   7265   -1.01206       0.37801  7.0075e-01  1.0000e+00  9.8377e-08  0.0000e+00
   7266   -1.01179       0.37811  7.0103e-01  1.0000e+00  9.8340e-08  0.0000e+00
   7267   -1.01152       0.37821  7.0132e-01  1.0000e+00  9.8303e-08  0.0000e+00
   7268   -1.01124       0.37832  7.0161e-01  1.0000e+00  9.8266e-08  0.0000e+00
   7269   -1.01097       0.37842  7.0190e-01  1.0000e+00  9.8228e-08  0.0000e+00
   7270   -1.01070       0.37852  7.0218e-01  1.0000e+00  9.8191e-08  0.0000e+00
   7271   -1.01043       0.37863  7.0247e-01  1.0000e+00  9.8154e-08  0.0000e+00
   7272   -1.01015       0.37873  7.0276e-01  1.0000e+00  9.8117e-08  0.0000e+00
   7273   -1.00988       0.37883  7.0305e-01  1.0000e+00  9.8080e-08  0.0000e+00
   7274   -1.00961       0.37894  7.0333e-01  1.0000e+00  9.8043e-08  0.0000e+00
   7275   -1.00933       0.37904  7.0362e-01  1.0000e+00  9.8005e-08  0.0000e+00
   7276   -1.00906       0.37914  7.0391e-01  1.0000e+00  9.7968e-08  0.0000e+00
   7277   -1.00879       0.37925  7.0420e-01  1.0000e+00  9.7931e-08  0.0000e+00
   7278   -1.00851       0.37935  7.0449e-01  1.0000e+00  9.7894e-08  0.0000e+00
   7279   -1.00824       0.37945  7.0478e-01  1.0000e+00  9.7857e-08  0.0000e+00
   7280   -1.00797       0.37956  7.0507e-01  1.0000e+00  9.7820e-08  0.0000e+00
   7281   -1.00770       0.37966  7.0535e-01  1.0000e+00  9.7783e-08  0.0000e+00
   7282   -1.00742       0.37977  7.0564e-01  1.0000e+00  9.7746e-08  0.0000e+00
   7283   -1.00715       0.37987  7.0593e-01  1.0000e+00  9.7709e-08  0.0000e+00
   7284   -1.00688       0.37997  7.0622e-01  1.0000e+00  9.7672e-08  0.0000e+00
   7285   -1.00660       0.38008  7.0651e-01  1.0000e+00  9.7635e-08  0.0000e+00
   7286   -1.00633       0.38018  7.0680e-01  1.0000e+00  9.7598e-08  0.0000e+00
   7287   -1.00606       0.38028  7.0709e-01  1.0000e+00  9.7561e-08  0.0000e+00
   7288   -1.00578       0.38039  7.0738e-01  1.0000e+00  9.7524e-08  0.0000e+00
   7289   -1.00551       0.38049  7.0767e-01  1.0000e+00  9.7488e-08  0.0000e+00
   7290   -1.00524       0.38060  7.0796e-01  1.0000e+00  9.7451e-08  0.0000e+00
   7291   -1.00496       0.38070  7.0825e-01  1.0000e+00  9.7414e-08  0.0000e+00
   7292   -1.00469       0.38080  7.0854e-01  1.0000e+00  9.7377e-08  0.0000e+00
   7293   -1.00442       0.38091  7.0883e-01  1.0000e+00  9.7340e-08  0.0000e+00
   7294   -1.00415       0.38101  7.0912e-01  1.0000e+00  9.7303e-08  0.0000e+00
   7295   -1.00387       0.38112  7.0941e-01  1.0000e+00  9.7267e-08  0.0000e+00
   7296   -1.00360       0.38122  7.0970e-01  1.0000e+00  9.7230e-08  0.0000e+00
   7297   -1.00333       0.38132  7.0999e-01  1.0000e+00  9.7193e-08  0.0000e+00
   7298   -1.00305       0.38143  7.1028e-01  1.0000e+00  9.7156e-08  0.0000e+00
   7299   -1.00278       0.38153  7.1057e-01  1.0000e+00  9.7120e-08  0.0000e+00
   7300   -1.00251       0.38164  7.1086e-01  1.0000e+00  9.7083e-08  0.0000e+00
   7301   -1.00223       0.38174  7.1116e-01  1.0000e+00  9.7046e-08  0.0000e+00
   7302   -1.00196       0.38184  7.1145e-01  1.0000e+00  9.7009e-08  0.0000e+00
   7303   -1.00169       0.38195  7.1174e-01  1.0000e+00  9.6973e-08  0.0000e+00
   7304   -1.00142       0.38205  7.1203e-01  1.0000e+00  9.6936e-08  0.0000e+00
   7305   -1.00114       0.38216  7.1232e-01  1.0000e+00  9.6899e-08  0.0000e+00
   7306   -1.00087       0.38226  7.1261e-01  1.0000e+00  9.6863e-08  0.0000e+00
   7307   -1.00060       0.38237  7.1291e-01  1.0000e+00  9.6826e-08  0.0000e+00
   7308   -1.00032       0.38247  7.1320e-01  1.0000e+00  9.6790e-08  0.0000e+00
   7309   -1.00005       0.38258  7.1349e-01  1.0000e+00  9.6753e-08  0.0000e+00
   7310   -0.99978       0.38268  7.1378e-01  1.0000e+00  9.6716e-08  0.0000e+00
   7311   -0.99950       0.38278  7.1407e-01  1.0000e+00  9.6680e-08  0.0000e+00
   7312   -0.99923       0.38289  7.1437e-01  1.0000e+00  9.6643e-08  0.0000e+00
   7313   -0.99896       0.38299  7.1466e-01  1.0000e+00  9.6607e-08  0.0000e+00
   7314   -0.99868       0.38310  7.1495e-01  1.0000e+00  9.6570e-08  0.0000e+00
   7315   -0.99841       0.38320  7.1524e-01  1.0000e+00  9.6534e-08  0.0000e+00
   7316   -0.99814       0.38331  7.1554e-01  1.0000e+00  9.6497e-08  0.0000e+00
   7317   -0.99787       0.38341  7.1583e-01  1.0000e+00  9.6461e-08  0.0000e+00
   7318   -0.99759       0.38352  7.1612e-01  1.0000e+00  9.6425e-08  0.0000e+00
   7319   -0.99732       0.38362  7.1642e-01  1.0000e+00  9.6388e-08  0.0000e+00
   7320   -0.99705       0.38373  7.1671e-01  1.0000e+00  9.6352e-08  0.0000e+00
   7321   -0.99677       0.38383  7.1700e-01  1.0000e+00  9.6315e-08  0.0000e+00
   7322   -0.99650       0.38394  7.1730e-01  1.0000e+00  9.6279e-08  0.0000e+00
   7323   -0.99623       0.38404  7.1759e-01  1.0000e+00  9.6243e-08  0.0000e+00
   7324   -0.99595       0.38415  7.1789e-01  1.0000e+00  9.6206e-08  0.0000e+00
   7325   -0.99568       0.38425  7.1818e-01  1.0000e+00  9.6170e-08  0.0000e+00
   7326   -0.99541       0.38436  7.1847e-01  1.0000e+00  9.6134e-08  0.0000e+00
   7327   -0.99514       0.38446  7.1877e-01  1.0000e+00  9.6097e-08  0.0000e+00
   7328   -0.99486       0.38457  7.1906e-01  1.0000e+00  9.6061e-08  0.0000e+00
   7329   -0.99459       0.38467  7.1936e-01  1.0000e+00  9.6025e-08  0.0000e+00
   7330   -0.99432       0.38478  7.1965e-01  1.0000e+00  9.5988e-08  0.0000e+00
   7331   -0.99404       0.38488  7.1995e-01  1.0000e+00  9.5952e-08  0.0000e+00
   7332   -0.99377       0.38499  7.2024e-01  1.0000e+00  9.5916e-08  0.0000e+00
   7333   -0.99350       0.38509  7.2054e-01  1.0000e+00  9.5880e-08  0.0000e+00
   7334   -0.99322       0.38520  7.2083e-01  1.0000e+00  9.5844e-08  0.0000e+00
   7335   -0.99295       0.38530  7.2113e-01  1.0000e+00  9.5807e-08  0.0000e+00
   7336   -0.99268       0.38541  7.2142e-01  1.0000e+00  9.5771e-08  0.0000e+00
   7337   -0.99240       0.38551  7.2172e-01  1.0000e+00  9.5735e-08  0.0000e+00
   7338   -0.99213       0.38562  7.2201e-01  1.0000e+00  9.5699e-08  0.0000e+00
   7339   -0.99186       0.38572  7.2231e-01  1.0000e+00  9.5663e-08  0.0000e+00
   7340   -0.99159       0.38583  7.2261e-01  1.0000e+00  9.5627e-08  0.0000e+00
   7341   -0.99131       0.38593  7.2290e-01  1.0000e+00  9.5591e-08  0.0000e+00
   7342   -0.99104       0.38604  7.2320e-01  1.0000e+00  9.5555e-08  0.0000e+00
   7343   -0.99077       0.38614  7.2349e-01  1.0000e+00  9.5519e-08  0.0000e+00
   7344   -0.99049       0.38625  7.2379e-01  1.0000e+00  9.5483e-08  0.0000e+00
   7345   -0.99022       0.38635  7.2409e-01  1.0000e+00  9.5446e-08  0.0000e+00
   7346   -0.98995       0.38646  7.2438e-01  1.0000e+00  9.5410e-08  0.0000e+00
   7347   -0.98967       0.38657  7.2468e-01  1.0000e+00  9.5374e-08  0.0000e+00
   7348   -0.98940       0.38667  7.2498e-01  1.0000e+00  9.5339e-08  0.0000e+00
   7349   -0.98913       0.38678  7.2527e-01  1.0000e+00  9.5303e-08  0.0000e+00
   7350   -0.98886       0.38688  7.2557e-01  1.0000e+00  9.5267e-08  0.0000e+00
   7351   -0.98858       0.38699  7.2587e-01  1.0000e+00  9.5231e-08  0.0000e+00
   7352   -0.98831       0.38709  7.2617e-01  1.0000e+00  9.5195e-08  0.0000e+00
   7353   -0.98804       0.38720  7.2646e-01  1.0000e+00  9.5159e-08  0.0000e+00
   7354   -0.98776       0.38731  7.2676e-01  1.0000e+00  9.5123e-08  0.0000e+00
   7355   -0.98749       0.38741  7.2706e-01  1.0000e+00  9.5087e-08  0.0000e+00
   7356   -0.98722       0.38752  7.2736e-01  1.0000e+00  9.5051e-08  0.0000e+00
   7357   -0.98694       0.38762  7.2765e-01  1.0000e+00  9.5015e-08  0.0000e+00
   7358   -0.98667       0.38773  7.2795e-01  1.0000e+00  9.4980e-08  0.0000e+00
   7359   -0.98640       0.38783  7.2825e-01  1.0000e+00  9.4944e-08  0.0000e+00
   7360   -0.98612       0.38794  7.2855e-01  1.0000e+00  9.4908e-08  0.0000e+00
   7361   -0.98585       0.38805  7.2885e-01  1.0000e+00  9.4872e-08  0.0000e+00
   7362   -0.98558       0.38815  7.2915e-01  1.0000e+00  9.4836e-08  0.0000e+00
   7363   -0.98531       0.38826  7.2945e-01  1.0000e+00  9.4801e-08  0.0000e+00
   7364   -0.98503       0.38836  7.2974e-01  1.0000e+00  9.4765e-08  0.0000e+00
   7365   -0.98476       0.38847  7.3004e-01  1.0000e+00  9.4729e-08  0.0000e+00
   7366   -0.98449       0.38858  7.3034e-01  1.0000e+00  9.4694e-08  0.0000e+00
   7367   -0.98421       0.38868  7.3064e-01  1.0000e+00  9.4658e-08  0.0000e+00
   7368   -0.98394       0.38879  7.3094e-01  1.0000e+00  9.4622e-08  0.0000e+00
   7369   -0.98367       0.38889  7.3124e-01  1.0000e+00  9.4586e-08  0.0000e+00
   7370   -0.98339       0.38900  7.3154e-01  1.0000e+00  9.4551e-08  0.0000e+00
   7371   -0.98312       0.38911  7.3184e-01  1.0000e+00  9.4515e-08  0.0000e+00
   7372   -0.98285       0.38921  7.3214e-01  1.0000e+00  9.4480e-08  0.0000e+00
   7373   -0.98258       0.38932  7.3244e-01  1.0000e+00  9.4444e-08  0.0000e+00
   7374   -0.98230       0.38943  7.3274e-01  1.0000e+00  9.4408e-08  0.0000e+00
   7375   -0.98203       0.38953  7.3304e-01  1.0000e+00  9.4373e-08  0.0000e+00
   7376   -0.98176       0.38964  7.3334e-01  1.0000e+00  9.4337e-08  0.0000e+00
   7377   -0.98148       0.38975  7.3364e-01  1.0000e+00  9.4302e-08  0.0000e+00
   7378   -0.98121       0.38985  7.3394e-01  1.0000e+00  9.4266e-08  0.0000e+00
   7379   -0.98094       0.38996  7.3424e-01  1.0000e+00  9.4231e-08  0.0000e+00
   7380   -0.98066       0.39006  7.3454e-01  1.0000e+00  9.4195e-08  0.0000e+00
   7381   -0.98039       0.39017  7.3484e-01  1.0000e+00  9.4160e-08  0.0000e+00
   7382   -0.98012       0.39028  7.3514e-01  1.0000e+00  9.4124e-08  0.0000e+00
   7383   -0.97984       0.39038  7.3544e-01  1.0000e+00  9.4089e-08  0.0000e+00
   7384   -0.97957       0.39049  7.3575e-01  1.0000e+00  9.4053e-08  0.0000e+00
   7385   -0.97930       0.39060  7.3605e-01  1.0000e+00  9.4018e-08  0.0000e+00
   7386   -0.97903       0.39070  7.3635e-01  1.0000e+00  9.3983e-08  0.0000e+00
   7387   -0.97875       0.39081  7.3665e-01  1.0000e+00  9.3947e-08  0.0000e+00
   7388   -0.97848       0.39092  7.3695e-01  1.0000e+00  9.3912e-08  0.0000e+00
   7389   -0.97821       0.39102  7.3725e-01  1.0000e+00  9.3876e-08  0.0000e+00
   7390   -0.97793       0.39113  7.3756e-01  1.0000e+00  9.3841e-08  0.0000e+00
   7391   -0.97766       0.39124  7.3786e-01  1.0000e+00  9.3806e-08  0.0000e+00
   7392   -0.97739       0.39134  7.3816e-01  1.0000e+00  9.3770e-08  0.0000e+00
   7393   -0.97711       0.39145  7.3846e-01  1.0000e+00  9.3735e-08  0.0000e+00
   7394   -0.97684       0.39156  7.3877e-01  1.0000e+00  9.3700e-08  0.0000e+00
   7395   -0.97657       0.39167  7.3907e-01  1.0000e+00  9.3665e-08  0.0000e+00
   7396   -0.97630       0.39177  7.3937e-01  1.0000e+00  9.3629e-08  0.0000e+00
   7397   -0.97602       0.39188  7.3967e-01  1.0000e+00  9.3594e-08  0.0000e+00
   7398   -0.97575       0.39199  7.3998e-01  1.0000e+00  9.3559e-08  0.0000e+00
   7399   -0.97548       0.39209  7.4028e-01  1.0000e+00  9.3524e-08  0.0000e+00
   7400   -0.97520       0.39220  7.4058e-01  1.0000e+00  9.3488e-08  0.0000e+00
   7401   -0.97493       0.39231  7.4089e-01  1.0000e+00  9.3453e-08  0.0000e+00
   7402   -0.97466       0.39241  7.4119e-01  1.0000e+00  9.3418e-08  0.0000e+00
   7403   -0.97438       0.39252  7.4149e-01  1.0000e+00  9.3383e-08  0.0000e+00
   7404   -0.97411       0.39263  7.4180e-01  1.0000e+00  9.3348e-08  0.0000e+00
   7405   -0.97384       0.39274  7.4210e-01  1.0000e+00  9.3313e-08  0.0000e+00
   7406   -0.97356       0.39284  7.4241e-01  1.0000e+00  9.3278e-08  0.0000e+00
   7407   -0.97329       0.39295  7.4271e-01  1.0000e+00  9.3243e-08  0.0000e+00
   7408   -0.97302       0.39306  7.4301e-01  1.0000e+00  9.3207e-08  0.0000e+00
   7409   -0.97275       0.39317  7.4332e-01  1.0000e+00  9.3172e-08  0.0000e+00
   7410   -0.97247       0.39327  7.4362e-01  1.0000e+00  9.3137e-08  0.0000e+00
   7411   -0.97220       0.39338  7.4393e-01  1.0000e+00  9.3102e-08  0.0000e+00
   7412   -0.97193       0.39349  7.4423e-01  1.0000e+00  9.3067e-08  0.0000e+00
   7413   -0.97165       0.39360  7.4454e-01  1.0000e+00  9.3032e-08  0.0000e+00
   7414   -0.97138       0.39370  7.4484e-01  1.0000e+00  9.2997e-08  0.0000e+00
   7415   -0.97111       0.39381  7.4515e-01  1.0000e+00  9.2962e-08  0.0000e+00
   7416   -0.97083       0.39392  7.4545e-01  1.0000e+00  9.2927e-08  0.0000e+00
   7417   -0.97056       0.39403  7.4576e-01  1.0000e+00  9.2892e-08  0.0000e+00
   7418   -0.97029       0.39413  7.4606e-01  1.0000e+00  9.2858e-08  0.0000e+00
   7419   -0.97002       0.39424  7.4637e-01  1.0000e+00  9.2823e-08  0.0000e+00
   7420   -0.96974       0.39435  7.4667e-01  1.0000e+00  9.2788e-08  0.0000e+00
   7421   -0.96947       0.39446  7.4698e-01  1.0000e+00  9.2753e-08  0.0000e+00
   7422   -0.96920       0.39456  7.4729e-01  1.0000e+00  9.2718e-08  0.0000e+00
