     i        y          a (AU)     P (y)    Mplan (M_E)     Pcol        Pejc   
    106   -2.96679       0.05353  3.7340e-02  1.0000e+00  2.3253e-06  0.0000e+00
    107   -2.96652       0.05354  3.7355e-02  1.0000e+00  2.3241e-06  0.0000e+00
    108   -2.96624       0.05356  3.7370e-02  1.0000e+00  2.3230e-06  0.0000e+00
    109   -2.96597       0.05357  3.7386e-02  1.0000e+00  2.3218e-06  0.0000e+00
    110   -2.96570       0.05359  3.7401e-02  1.0000e+00  2.3207e-06  0.0000e+00
    111   -2.96542       0.05360  3.7416e-02  1.0000e+00  2.3195e-06  0.0000e+00
    112   -2.96515       0.05361  3.7432e-02  1.0000e+00  2.3184e-06  0.0000e+00
    113   -2.96488       0.05363  3.7447e-02  1.0000e+00  2.3172e-06  0.0000e+00
    114   -2.96461       0.05364  3.7462e-02  1.0000e+00  2.3161e-06  0.0000e+00
    115   -2.96433       0.05366  3.7478e-02  1.0000e+00  2.3149e-06  0.0000e+00
    116   -2.96406       0.05367  3.7493e-02  1.0000e+00  2.3138e-06  0.0000e+00
    117   -2.96379       0.05369  3.7508e-02  1.0000e+00  2.3126e-06  0.0000e+00
    118   -2.96351       0.05370  3.7524e-02  1.0000e+00  2.3115e-06  0.0000e+00
    119   -2.96324       0.05372  3.7539e-02  1.0000e+00  2.3103e-06  0.0000e+00
    120   -2.96297       0.05373  3.7554e-02  1.0000e+00  2.3092e-06  0.0000e+00
    121   -2.96269       0.05375  3.7570e-02  1.0000e+00  2.3081e-06  0.0000e+00
    122   -2.96242       0.05376  3.7585e-02  1.0000e+00  2.3069e-06  0.0000e+00
    123   -2.96215       0.05378  3.7601e-02  1.0000e+00  2.3058e-06  0.0000e+00
    124   -2.96187       0.05379  3.7616e-02  1.0000e+00  2.3046e-06  0.0000e+00
    125   -2.96160       0.05381  3.7631e-02  1.0000e+00  2.3035e-06  0.0000e+00
    126   -2.96133       0.05382  3.7647e-02  1.0000e+00  2.3023e-06  0.0000e+00
    127   -2.96106       0.05383  3.7662e-02  1.0000e+00  2.3012e-06  0.0000e+00
    128   -2.96078       0.05385  3.7678e-02  1.0000e+00  2.3001e-06  0.0000e+00
    129   -2.96051       0.05386  3.7693e-02  1.0000e+00  2.2989e-06  0.0000e+00
    130   -2.96024       0.05388  3.7709e-02  1.0000e+00  2.2978e-06  0.0000e+00
    131   -2.95996       0.05389  3.7724e-02  1.0000e+00  2.2966e-06  0.0000e+00
    132   -2.95969       0.05391  3.7739e-02  1.0000e+00  2.2955e-06  0.0000e+00
    133   -2.95942       0.05392  3.7755e-02  1.0000e+00  2.2944e-06  0.0000e+00
    134   -2.95914       0.05394  3.7770e-02  1.0000e+00  2.2932e-06  0.0000e+00
    135   -2.95887       0.05395  3.7786e-02  1.0000e+00  2.2921e-06  0.0000e+00
    136   -2.95860       0.05397  3.7801e-02  1.0000e+00  2.2910e-06  0.0000e+00
    137   -2.95833       0.05398  3.7817e-02  1.0000e+00  2.2898e-06  0.0000e+00
    138   -2.95805       0.05400  3.7832e-02  1.0000e+00  2.2887e-06  0.0000e+00
    139   -2.95778       0.05401  3.7848e-02  1.0000e+00  2.2876e-06  0.0000e+00
    140   -2.95751       0.05403  3.7863e-02  1.0000e+00  2.2864e-06  0.0000e+00
    141   -2.95723       0.05404  3.7879e-02  1.0000e+00  2.2853e-06  0.0000e+00
    142   -2.95696       0.05406  3.7894e-02  1.0000e+00  2.2842e-06  0.0000e+00
    143   -2.95669       0.05407  3.7910e-02  1.0000e+00  2.2830e-06  0.0000e+00
    144   -2.95641       0.05409  3.7925e-02  1.0000e+00  2.2819e-06  0.0000e+00
    145   -2.95614       0.05410  3.7941e-02  1.0000e+00  2.2808e-06  0.0000e+00
    146   -2.95587       0.05411  3.7957e-02  1.0000e+00  2.2796e-06  0.0000e+00
    147   -2.95559       0.05413  3.7972e-02  1.0000e+00  2.2785e-06  0.0000e+00
    148   -2.95532       0.05414  3.7988e-02  1.0000e+00  2.2774e-06  0.0000e+00
    149   -2.95505       0.05416  3.8003e-02  1.0000e+00  2.2762e-06  0.0000e+00
    150   -2.95478       0.05417  3.8019e-02  1.0000e+00  2.2751e-06  0.0000e+00
    151   -2.95450       0.05419  3.8034e-02  1.0000e+00  2.2740e-06  0.0000e+00
    152   -2.95423       0.05420  3.8050e-02  1.0000e+00  2.2729e-06  0.0000e+00
    153   -2.95396       0.05422  3.8065e-02  1.0000e+00  2.2717e-06  0.0000e+00
    154   -2.95368       0.05423  3.8081e-02  1.0000e+00  2.2706e-06  0.0000e+00
    155   -2.95341       0.05425  3.8097e-02  1.0000e+00  2.2695e-06  0.0000e+00
    156   -2.95314       0.05426  3.8112e-02  1.0000e+00  2.2684e-06  0.0000e+00
    157   -2.95286       0.05428  3.8128e-02  1.0000e+00  2.2672e-06  0.0000e+00
    158   -2.95259       0.05429  3.8144e-02  1.0000e+00  2.2661e-06  0.0000e+00
    159   -2.95232       0.05431  3.8159e-02  1.0000e+00  2.2650e-06  0.0000e+00
    160   -2.95205       0.05432  3.8175e-02  1.0000e+00  2.2639e-06  0.0000e+00
    161   -2.95177       0.05434  3.8190e-02  1.0000e+00  2.2627e-06  0.0000e+00
    162   -2.95150       0.05435  3.8206e-02  1.0000e+00  2.2616e-06  0.0000e+00
    163   -2.95123       0.05437  3.8222e-02  1.0000e+00  2.2605e-06  0.0000e+00
    164   -2.95095       0.05438  3.8237e-02  1.0000e+00  2.2594e-06  0.0000e+00
    165   -2.95068       0.05440  3.8253e-02  1.0000e+00  2.2583e-06  0.0000e+00
    166   -2.95041       0.05441  3.8269e-02  1.0000e+00  2.2571e-06  0.0000e+00
    167   -2.95013       0.05443  3.8284e-02  1.0000e+00  2.2560e-06  0.0000e+00
    168   -2.94986       0.05444  3.8300e-02  1.0000e+00  2.2549e-06  0.0000e+00
    169   -2.94959       0.05446  3.8316e-02  1.0000e+00  2.2538e-06  0.0000e+00
    170   -2.94931       0.05447  3.8331e-02  1.0000e+00  2.2527e-06  0.0000e+00
    171   -2.94904       0.05449  3.8347e-02  1.0000e+00  2.2516e-06  0.0000e+00
